risk_segment,MonthlyCharges,annual_at_risk
Low,94.55,39.6681249041966
Low,35.75,69.1860056185476
Low,90.2,41.5843013616785
Medium,84.3,573.58134231349
Low,40.65,73.6921427602067
Low,97.0,72.8962825873406
Low,64.3,145.972770168525
Low,93.2,422.454435570517
Low,54.35,47.9956803218387
Medium,47.95,366.738602029101
Low,19.2,53.7357039790958
Medium,79.05,563.729405053184
Medium,79.8,472.114326120914
Low,106.35,451.662673045424
Low,19.65,5.34228443319044
Medium,40.3,236.899372585171
Low,55.15,35.8716090844077
Low,23.05,4.82295862691573
Medium,56.25,442.817073348364
Low,94.7,190.061563115419
Low,54.2,65.9034793969048
Low,103.8,422.821411390085
Low,19.8,17.7744090387054
Low,81.05,133.673461601278
Low,84.95,115.969884886971
Low,29.05,131.129931174993
Low,20.2,96.2484500683614
Medium,50.7,323.228441551561
Low,113.1,22.076552049604
Low,89.6,338.396296504484
High,74.45,775.250459844974
Low,47.6,14.3411249358889
Low,75.1,264.272161622565
Low,95.2,316.057752991876
Low,97.7,396.106424732722
Medium,103.85,523.618486237657
Low,20.0,14.231918927344
High,92.1,849.804710570001
Low,19.65,7.77378294333601
Medium,74.9,550.310475796497
Low,84.25,385.473597480836
Low,90.95,16.3001819445482
Low,85.15,316.206146317466
Low,50.4,77.8451639867743
Medium,107.95,672.083919574714
Low,20.3,27.0620881480576
Low,74.3,54.0152508984839
Low,40.2,50.4123088789589
Low,19.2,3.45627802815121
Medium,73.5,397.983232435256
Low,36.25,113.755910063049
Medium,101.9,553.807448884033
Low,25.1,5.43296851906717
Medium,84.75,439.849639760809
Medium,19.6,97.6921950613665
Low,73.65,175.97394834074
Low,109.55,418.182537662196
Low,94.9,200.055824792576
Low,20.4,20.6026632865183
Low,19.7,5.03941094347997
High,100.15,936.475779874496
Medium,85.95,580.907855378082
Low,70.85,13.3001432561569
Medium,30.5,165.479172726967
Low,83.75,335.485727194572
Low,71.6,16.0569933233216
Medium,69.95,349.688286750733
Low,19.4,3.73953594433413
Low,30.85,79.4684903494164
Low,20.2,76.8460378270834
Low,100.2,33.6633567595866
Low,54.75,157.480443087262
Low,91.25,126.839023430306
Low,23.85,4.42792068959137
Medium,118.35,585.55013710852
Low,89.4,20.3609318953707
Medium,80.6,667.846968140987
Low,78.9,109.232033218912
Low,111.8,335.522579967021
Low,44.55,151.406630774053
Low,19.7,6.6283110820757
High,74.4,658.807448093234
Medium,82.65,451.619818018082
Low,43.7,24.1037248045678
High,88.45,761.252712887444
High,90.6,912.963103031327
Medium,29.65,177.317680630972
Low,55.3,56.6936848631828
Low,20.6,4.52003772147734
Low,78.45,20.8730299591296
Low,50.55,16.9452300056481
Low,109.95,476.707851468184
Medium,45.3,321.296929879825
Medium,73.3,489.934458575546
Low,44.65,126.444909829424
Low,35.2,126.002611715405
Low,29.8,131.029964205456
Low,20.55,9.20401986129709
Low,20.3,6.50199247784118
Medium,85.95,444.358066281614
High,85.05,770.759775405643
Low,80.85,164.303883799715
Low,20.05,9.83297185785161
Low,45.25,163.628618581659
Low,86.0,390.736884300402
Low,61.5,43.5760040436016
Low,60.75,27.1756231863034
High,98.0,828.068133335258
Low,78.7,329.051154717808
Low,71.1,76.0967675585137
Low,20.65,3.82006017234318
Low,20.2,6.08848640317166
Low,19.25,34.9454465475644
Low,55.65,49.4595076579298
Medium,78.3,452.89969533991
Low,19.6,11.6952795718953
Medium,73.8,501.720960926169
Low,51.15,87.133220865646
High,91.65,928.013729309153
Low,84.25,194.710458751731
Low,92.45,43.3525290024485
Low,80.45,215.3617110268
Low,19.6,15.3396087810101
Low,19.05,16.4727820514864
High,81.95,845.67245714946
Low,109.4,310.820296365438
Medium,20.1,115.40422980839
Low,109.95,265.86998059231
Low,109.3,99.5140721323648
Low,91.6,48.015368430286
Low,20.15,38.2659722308105
Low,18.85,38.2995671289494
Medium,45.75,324.374260098943
Low,99.15,67.5733790742798
Low,53.6,61.3684204038622
Low,67.2,16.0914542097068
Medium,69.65,486.524191918927
Low,113.8,39.4283357431896
Medium,45.85,339.987467145323
Low,24.9,5.67844058414465
Low,20.1,8.68731122328506
High,70.35,605.869235680888
Low,74.05,156.715295926226
Low,66.5,21.7952238362942
Low,79.45,85.348235661181
Low,53.65,22.9751352736448
Low,84.8,56.002809838101
Low,19.55,4.79219276618387
Low,24.8,8.83758786676361
Low,20.6,17.9464176119903
Low,102.1,402.115107673446
Low,104.45,265.830726079152
Low,36.65,117.784021832505
Low,23.9,28.7019391658099
Low,89.6,275.337447397003
Low,94.25,215.853488310214
Medium,86.1,428.000625309378
Low,94.4,227.385582069458
High,94.0,951.5013470261
Low,46.25,14.6665096358442
Low,51.35,22.3536204352581
High,98.3,943.164818464941
Low,50.3,75.0459840251146
Low,19.85,5.14815994808143
Medium,99.05,583.211909934155
Low,76.1,31.5925614597883
Low,20.5,4.04424279548769
Low,74.65,324.316694221224
Medium,77.5,436.206367980902
Low,19.05,2.89102386594972
Medium,51.75,255.507604064297
Medium,78.85,447.217258920118
Medium,95.1,550.026292382893
Medium,70.8,378.577440611954
Low,49.55,127.765383777095
Low,75.35,19.2704431467761
Low,107.45,49.6679043144368
Low,49.0,196.723464278526
Low,20.0,25.5076285882965
Low,85.9,17.5351658538059
Low,79.05,45.3241251476162
Low,117.5,21.3846339501469
Low,70.35,225.652446694424
Low,80.15,22.9171440129807
Low,90.15,258.802115945338
Low,70.4,92.1605243451201
High,68.95,692.982281220819
Low,19.1,2.89861185509919
Low,49.4,156.44359535816
Medium,74.3,526.731258947486
Low,35.9,142.197292774705
Low,20.65,13.251113401974
Medium,94.65,598.644615331638
Medium,50.75,323.547207273012
Low,75.8,324.621195068253
High,96.15,911.358239675527
Low,105.15,444.897918471382
Medium,69.55,414.868873964321
High,100.15,928.527897529542
Medium,104.95,737.842260491795
High,86.0,863.972297125399
Low,19.9,7.64492848435178
High,79.9,769.29628169402
Low,84.8,31.2008166363048
Medium,24.75,144.916870435306
High,69.8,694.641887399654
Low,69.65,63.9714977007402
Low,20.2,47.9914757933745
Low,108.15,500.441743372857
Low,19.7,24.4204173736472
Low,68.15,88.8051067164629
Low,81.6,178.084747230372
Low,81.4,220.961651403259
Low,25.7,12.50226255952
Low,25.0,5.14070629178121
Low,104.35,443.187684583397
Low,20.9,73.6723973943854
Low,109.25,521.416660431222
Medium,45.65,348.621108925003
Low,19.5,89.0811783781147
Low,80.35,299.21065574273
Low,105.9,195.617998618747
Low,64.5,36.719043103717
Low,86.1,18.0287775505742
Medium,69.85,429.063392995307
Low,54.7,115.111020402461
Low,64.55,19.68756873468
Low,94.05,108.196048420192
Low,116.05,40.6062038442124
Low,24.0,10.7614564982727
Medium,44.4,272.606812053935
Low,91.8,184.071206915193
Low,51.5,59.4735699096938
Low,69.2,111.798828561019
Low,70.95,82.1165866641805
Low,45.0,90.1866739166699
Low,94.3,331.356230155783
Low,19.65,9.3308458921845
Medium,74.45,449.996793128718
Low,54.15,37.778421553439
Low,50.25,32.0878060601671
Low,79.15,141.889556413565
Low,49.55,109.316441901664
Medium,75.75,503.188489437893
Low,102.45,236.432666755679
Low,85.9,206.510974501277
Low,115.5,27.9754120914413
Low,19.9,3.8582277268992
Low,34.25,111.681838157545
Low,61.05,140.228934039055
Low,105.2,439.629211678962
Low,19.85,8.43594037211725
Low,87.25,17.6110993665115
Low,79.4,178.673269302686
Medium,80.15,486.565258991885
Low,64.05,53.9109827150027
Low,106.15,262.806114435578
Low,115.85,83.6699934194309
High,99.65,1072.06706010486
Low,105.55,73.0751534954834
Low,90.95,108.994150866023
Low,54.35,23.3765613088962
Low,84.9,199.332671225782
Medium,103.85,539.708443624128
Medium,95.05,626.00526966517
Low,19.6,41.1484114837843
High,74.55,645.322500663589
Low,106.75,409.234355690536
Low,38.55,31.7910353845661
Low,21.25,4.66266027094143
Low,99.5,64.8946825440675
Low,78.6,54.3689768095747
Low,19.5,4.45421012784623
Low,23.65,4.86310815202502
Low,75.1,38.5077459578473
Low,90.05,350.270530422361
Medium,51.2,279.735634538576
Low,101.15,79.943390003104
Low,66.25,30.6311259742724
Low,99.5,317.816162000813
High,95.05,805.954568220005
Low,20.3,3.01853466466912
Low,99.65,148.419828169842
Low,64.8,15.729659493376
Low,115.55,87.6478211379258
Medium,91.55,562.207476584575
Low,104.1,118.655262724037
Medium,79.0,661.763923419378
Medium,88.15,562.887978930579
Low,35.1,17.1130277907998
Low,39.4,17.2656894615121
Low,54.25,99.9464856099948
Low,64.45,16.6265336986411
Low,68.35,126.34257815271
Low,24.6,12.5533352994662
Low,107.25,410.498913827161
Medium,89.35,610.87277818775
Low,24.1,23.9703204904019
Medium,96.85,747.257658844261
Low,99.5,112.203149342098
Medium,95.9,638.037046000393
Low,49.9,58.8358545747672
Low,79.2,27.20942059465
Medium,44.7,311.491885221815
High,25.7,242.495788863371
Low,45.4,111.201170364992
Low,19.95,4.1169171168274
Low,39.6,16.6152413987703
Low,20.15,29.2123220924163
Low,85.95,28.8737872586975
Low,19.85,4.72865884243428
Low,94.3,67.22415851288
Low,86.2,208.306675135874
Low,89.1,21.9385367875638
High,79.15,779.495786714628
Medium,79.35,396.323889281329
Low,92.55,324.171392431487
Low,64.95,24.3479874492169
Low,45.0,198.529732973564
Low,25.1,62.124863825265
High,85.65,822.926226745078
Low,82.3,16.6294841663454
High,71.0,692.785322323467
Medium,79.85,556.140137541412
Low,79.85,274.393268882768
Low,24.25,5.44991839187943
Low,25.05,14.7084313967223
Low,96.25,93.8946561200316
Medium,53.4,272.609426564607
Low,105.55,214.676149705511
Low,91.85,278.663208439251
Low,24.3,4.76980644860722
Low,93.7,139.961529336686
Low,80.05,148.56060618318
Medium,96.5,676.317704183527
Medium,104.4,693.966096150451
High,84.6,888.697782127709
Medium,80.1,582.077659606706
Medium,100.8,691.646144867893
High,75.55,683.10648884479
Low,20.3,59.1059566045014
Low,98.65,40.3793231543433
Low,75.9,215.487661880776
Low,19.25,69.391576655547
Low,19.8,3.90974463134183
Medium,111.4,740.45962520361
Medium,45.0,272.556597017819
Medium,80.85,591.819804329193
Low,39.1,69.9146089984173
Low,85.65,388.856966090974
Low,20.2,4.16850755688789
High,78.05,790.464556598135
Low,64.8,163.829267624949
Low,26.0,12.3739633198948
Low,72.6,23.8481907711131
Low,73.0,119.467831300849
Medium,107.05,638.856440913074
Low,24.5,9.17980218357039
Low,24.5,7.01305249358245
Medium,83.55,523.129152650071
High,78.85,683.811858726566
Low,95.5,72.8664834936326
Low,20.5,6.44572624116947
Medium,85.95,658.893236084518
Low,60.0,30.3078392977556
Low,89.6,275.543393805479
Low,19.3,7.41442812803967
Low,48.65,182.828923440652
Low,75.3,233.330891708865
Medium,76.0,509.842240846752
Low,99.65,439.126400032504
Low,70.75,305.068210613046
Low,64.4,75.8915800881891
High,76.05,714.194750662715
Low,99.0,105.156471905334
Low,93.6,323.161543209516
Low,78.75,63.5473028463431
Low,110.5,338.149132970355
Low,34.25,135.923144856039
Medium,85.25,637.738910361617
High,85.0,880.723805602648
Medium,79.3,622.759371204086
Low,110.3,32.7853236074641
Low,49.9,98.1627556575023
Low,115.6,300.217300340282
Low,19.55,4.41517690287992
High,97.35,819.144332443164
Low,84.6,31.6023103134252
Medium,102.6,703.157455843641
Low,64.1,131.114114574337
Medium,50.4,248.842188306098
Low,83.5,22.5441081997556
Low,60.0,36.6659061220342
Low,20.7,3.20956290526973
Low,81.9,160.152769445717
Medium,99.75,713.931256412588
Low,56.4,15.8313187021074
High,70.8,655.580106333768
Low,93.55,190.454998464049
Medium,70.35,552.366835384323
Medium,104.15,634.118525043456
Medium,88.85,672.161713743707
Low,100.15,297.256417978055
Medium,99.7,811.811492883945
Low,19.35,7.5251617815291
Low,24.55,5.76060484083155
High,102.1,993.120398663771
Low,19.95,6.75193711822551
Low,75.35,313.372918702467
Low,80.65,156.411143664274
Medium,25.25,190.128198295494
Low,19.7,22.0621343093453
Low,80.85,325.418702020832
Low,74.2,27.9129776566076
Low,25.05,53.1660038044299
Medium,24.45,170.283659829614
Medium,78.8,408.144734801971
Low,92.7,52.9957590209936
Low,75.15,29.7928310673963
Low,56.3,144.948656451669
High,84.35,797.90534521715
Low,85.5,372.545977402258
Low,19.5,6.68851159954917
Low,49.9,76.33421226895
Low,20.35,36.5896981561478
Low,24.8,20.2105236405555
High,79.95,832.430949231717
Low,99.2,252.899624254774
High,89.95,791.734556804821
Low,61.35,51.5485320687736
Low,19.7,2.94281535391974
Low,19.2,16.6024889967737
High,85.8,861.492744744619
Low,20.25,30.8185935222942
Low,25.3,6.7216853504289
High,98.5,1047.77948293654
Low,20.25,4.4432409640736
Low,29.8,93.1799342120407
Low,36.05,37.2362896603585
Low,29.2,122.673492937174
Low,19.75,35.6255558905751
Low,46.3,128.867162935284
Medium,70.4,483.964289375571
Low,100.35,209.518186018936
Low,90.65,361.871943490269
Low,104.1,87.2844861432911
Low,54.2,82.3252849102059
Low,75.2,240.365440742712
Medium,85.0,574.088365662477
High,70.1,666.276238457051
Low,20.0,4.95375403395996
Low,90.15,17.9642900936801
Low,102.35,297.475521954366
Low,68.15,11.6390567693609
Low,21.2,7.08661801102163
Medium,30.9,205.615815642161
Medium,79.4,665.114626829097
Low,24.4,9.9000390412966
Low,39.15,13.6782197359518
Low,107.5,459.773798944636
Low,19.85,7.43498872344008
Low,49.95,75.5751907934834
Low,67.8,96.5439683033062
High,79.4,743.423799190649
Low,109.25,212.009433500077
Low,20.05,8.52093725244085
Low,20.4,59.3971189523068
Low,20.55,45.6648302144665
High,74.4,774.729808092224
Low,29.6,41.2659311834919
High,76.5,700.775693924935
Low,18.55,3.25452413109504
Low,20.1,8.28428040510636
High,84.6,746.050579328468
Medium,79.65,652.004911518365
Low,90.85,434.109999509864
Low,60.0,24.7679576783382
Low,20.55,4.03930319297989
High,74.85,671.396751724863
Medium,75.35,391.601946054582
Low,25.0,9.47924856646266
Medium,54.65,421.340550605823
Low,19.95,7.35584011758333
Low,20.4,7.23521181360272
Low,103.75,404.97839621431
Low,25.55,11.303814661316
Medium,104.4,676.854548916008
Low,93.95,398.333316967926
Low,69.65,260.547415989879
Low,20.4,28.8909522517734
Low,50.55,189.702599506748
Low,56.25,55.7239954390548
Low,40.3,189.119982197966
Medium,43.8,287.438359408343
Low,20.35,9.0104002365174
Low,36.0,21.9371542689553
Low,60.4,79.8009216576281
Low,25.5,63.2979292403581
Low,25.75,5.13911371108571
Low,75.35,71.471398957267
High,91.05,856.511674288361
Low,19.55,5.282973483877
Low,60.05,151.186543171183
Low,57.5,33.7983044575923
Medium,86.05,672.717194202576
Low,19.8,3.90974463134183
Low,103.5,339.070747952786
Medium,79.15,468.08185740833
Low,69.7,147.694111189655
Low,102.15,383.633837069703
